subjekt,cena,status,ic
VK INVESTING s.r.o.,4500.0,,
B E S  s.r.o.,4500.0,,
"Slévárna HEUNISCH, a.s.",4500.0,,
Smart Heating Technology,4500.0,,
MINISTERSTVO PRÁCE A,4500.0,,
Město Třeboň,4500.0,,
Sociální služby města Pardubic,4500.0,,
ŽSD a.s.,4500.0,,
Město Trhové Sviny,4500.0,,
VIS spol. s r.o.,4500.0,,
"INSTOP, spol. s r.o.",4500.0,,
KOMA - Industry s. r. o.,4500.0,,
INTAR a.s.,4500.0,,
Amisk Hescom s.r.o,4500.0,,
Acer Czech Republic s.r.o.,4500.0,,
"4RAIL, a.s.",4500.0,,
MEDETRON s.r.o.,4500.0,,
"BHS CORRUGATED Fertigungs, Mon",4500.0,,
ISC Communication Czech a.s.,4500.0,,
MORYS s. r. o.,4500.0,,
BLOCK a.s.,4500.0,,
DAS spol. s r.o.,4500.0,,
MBtech Bohemia s.r.o.,4500.0,,
D.S.D. PRAKTIK s.r.o.,4500.0,,
ČR - Vězeňská služba,4500.0,,
MS - projekce s.r.o.,4500.0,,
"D.I.S., spol. s r.o.",4500.0,,
ACO Industries k.s.,4500.0,,
ČMŽO - elektronika s.r.o.,4500.0,,
D A M  Ústí n.L. s.r.o.,4500.0,,
Výskumný ústav zváračský - Pri,4500.0,,
D & D ELEKTROMONT s.r.o.,4500.0,,
BORCAD cz s.r.o.,4500.0,,
UK v Praze  Ma-fyz. fakulta,4500.0,,
AUTEL - montáže  s.r.o.,4500.0,,
"TŘINECKÁ PROJEKCE, a.s.",4500.0,,
Czech Blades s.r.o.,4500.0,,
LEŇO stabil Czech s.r.o.,4500.0,,
Kraj Vysočina,4500.0,,
ČADA  - CORPORATION s.r.o,4500.0,,
MARVES v.o.s.,4500.0,,
ATS-TELCOM PRAHA a.s.,4500.0,,
LG SYSTEM spol. s r.o.,4500.0,,
AVM Technik s.r.o.,4500.0,,
AB building s.r.o.,4500.0,,
"KOTOUČ ŠTRAMBERK, spol. s r.o.",4500.0,,
"Strojírny Podzimek, s.r.o.",4500.0,,
DELTA Třinec s. r. o.,4500.0,,
Český Caparol s.r.o.,4500.0,,
Stavlux invest s.r.o.,4500.0,,
A PLUS a.s.,4500.0,,
IP systém a.s.,4500.0,,
KORDÁRNA Plus a.s.,4500.0,,
Kubík a.s.,4500.0,,
Město Moravská Třebová,4500.0,,
Univerzita Karlova v Praze,4500.0,,
České dřevařské závody Praha a,4500.0,,
"BEST, a.s.",4500.0,,
Město Mirošov,4500.0,,
Univerzita Hradec Králové,4500.0,,
"Zetor Havlíčkův Brod, a.s.",4500.0,,
Město Lysá nad Labem,4500.0,,
BEUMER Group Czech Republic a.,4500.0,,
"KARSIT HOLDING, s.r.o.",4500.0,,
"UPOSS, spol. s.r.o.",4500.0,,
Česká pojišťovna a.s.,4500.0,,
Krajské ředitelství policie hl,4500.0,,
BETONIKA plus s.r.o.,4500.0,,
"BFS Servis, s.r.o.",4500.0,,
SEFIRA spol. s r.o.,4444.0,,
"Státní zdravotní ústav, p.o.",4414.0,,
"IKATES, s.r.o.",4251.0,,
EPCOS s.r.o.,4247.0,,
"SVÚM, a.s.",4182.0,,
ZANAP  Frýdek-Místek s. r. o.,4000.0,,
O-I Manufacturing Czech Republ,4000.0,,
PM Group CZ s.r.o.,4000.0,,
Nitto Denko Czech s.r.o.,4000.0,,
R E D I S - spol. s r.o.,4000.0,,
"POHL cz, a.s.",4000.0,,
ServisControl s.r.o.,4000.0,,
"Českomoravský cement, a.s.",4000.0,,
MĚSTO BYSTŘICE POD HOSTÝNEM,4000.0,,
ELEKTRO  ŠIMEK,4000.0,,
ČaS Pardubice s.r.o.,4000.0,,
Zodiac Galleys Europe s.r.o.,4000.0,,
Fakultní nemocnice Královské V,4000.0,,
"IVITAS, a.s.",3959.0,,
ACTHERM servis a.s.,3905.0,,
Vyncke s.r.o.,3815.0,,
DHI a.s.,3698.0,,
"TEMAC, a.s.",3698.0,,
Mondi Štětí a.s.,3662.0,,
KNORIMPEX,3644.0,,
MONROE CZECHIA s.r.o.,3626.0,,
LAUFEN CZ s.r.o.,3600.0,,
"WINSTON Production, s.r.o.",3550.0,,
"MEA MEISINGER, s.r.o.",3500.0,,
"PANAV, a.s.",3500.0,,
"PRISIMA, spol. s r.o.",3500.0,,
"LAVEL MB, s.r.o.",3500.0,,
MEARING s.r.o.,3500.0,,
"PRO UNIE, s.r.o.",3500.0,,
PARITA plus s.r.o.,3500.0,,
"LARS Chemie, spol. s r.o.",3500.0,,
LAVIMONT BRNO a.s.,3500.0,,
"PARS - building, spol. s r.o.",3500.0,,
ME Systems s.r.o.,3500.0,,
"LB 2000, spol. s r.o.",3500.0,,
PARTIS a.s.,3500.0,,
PRO 8 s.r.o.,3500.0,,
"PRO ARCH PLZEŇ, s.r.o.",3500.0,,
"MEDICOPROJECT, s.r.o.",3500.0,,
LASER TECHNOLOGY s.r.o.,3500.0,,
PANLUX s.r.o.,3500.0,,
"MEAS CZ, s. r. o.",3500.0,,
MEATEST spol. s r.o.,3500.0,,
"PANRAM, s.r.o.",3500.0,,
"MECAPLAST CZ, s.r.o.",3500.0,,
PAS PLUS s.r.o.,3500.0,,
PRO ENAMO SERVIS s.r.o.,3500.0,,
"PRO-AQUA CZ, s.r.o.",3500.0,,
""" KARDA, s.r.o """,3500.0,,
"LASER CENTRUM CZ, s.r.o.",3500.0,,
"LASAK, spol. s r.o.",3500.0,,
LASE s.r.o.,3500.0,,
MEDITERRA s.r.o.,3500.0,,
MEDESA s.r.o.,3500.0,,
"PRIMA, akciová společnost",3500.0,,
PAS Procesní Automatizační Sys,3500.0,,
MDS projekt s.r.o.,3500.0,,
PREMEDIS s.r.o.,3500.0,,
MAVIS Nový Bor s.r.o.,3500.0,,
PBK BM s.r.o.,3500.0,,
MAVA spol. s r.o.,3500.0,,
"LEMFELD a syn, Vilémov, spol.",3500.0,,
PREGO - stavební firma s.r.o.,3500.0,,
LENIA spol. s r. o.,3500.0,,
MATEICIUC a.s.,3500.0,,
MASSAG Stamping a.s.,3500.0,,
LESOOPTIMA s. r. o.,3500.0,,
"PBS POWER EQUIPMENT, s.r.o.",3500.0,,
PREFA Roudná s. r. o.,3500.0,,
MARTENZIT s.r.o.,3500.0,,
MARTECH HOLDING a.s.,3500.0,,
"LIBERECKÉ KOTLÁRNY - Hölter, s",3500.0,,
PAVELKA - kontejnery s.r.o.,3500.0,,
LDH spol. s r.o.,3500.0,,
"MBG, spol. s r. o.",3500.0,,
LD projekt s.r.o.,3500.0,,
"MD-energo Systems, spol. s r.o",3500.0,,
LAPP KABEL s.r.o.,3500.0,,
PASTELL spol. s r.o.,3500.0,,
PREVENTADO s.r.o.,3500.0,,
LCL Servis s.r.o.,3500.0,,
PATREM PIPE TECHNOLOGIES s.r.o,3500.0,,
"PATRIA Kobylí, a.s.",3500.0,,
"MBK Consulting, s.r.o.",3500.0,,
MC Control s.r.o.,3500.0,,
"PRESSHYDRAULIKA,s.r.o.",3500.0,,
MC - Bauchemie s.r.o.,3500.0,,
"PATRIOT, spol. s r. o.",3500.0,,
PATROL group s.r.o.,3500.0,,
"MBNS - International, spol. s",3500.0,,
PAMMO.cz s.r.o.,3500.0,,
MEDKOTECH s.r.o.,3500.0,,
"PAMET, spol. s r.o.",3500.0,,
Oschatz Bohemia s r.o.,3500.0,,
"META skladovací technika, s.r.",3500.0,,
"PROFITALL,spol. s r.o.",3500.0,,
LAMA GAS & OIL s.r.o.,3500.0,,
PROFIRE s.r.o.,3500.0,,
MESSOR  s.r.o.,3500.0,,
PROFINVESTIK s.r.o.,3500.0,,
PROFI lighting spol. s r.o.,3500.0,,
Ostravská univerzita v Ostravě,3500.0,,
"MERKO CZ, a.s.",3500.0,,
MESIT  & RÖDERS v.o.s.,3500.0,,
"MESIT ronex, spol. s r.o.",3500.0,,
"MESIT povrchové ochrany, spol.",3500.0,,
MESIT holding a.s.,3500.0,,
"Ostravské opravny a strojírny,",3500.0,,
"PROFI am BAU CM, spol.s r.o.",3500.0,,
LANA VAMBERK s.r.o.,3500.0,,
Orifarm Supply s.r.o.,3500.0,,
LAKUM - GALMA a.s.,3500.0,,
"Optomont, a.s.",3500.0,,
PROFIVOLT s.r.o.,3500.0,,
MG Components s.r.o.,3500.0,,
MEVA a.s.,3500.0,,
METRUM s.r.o.,3500.0,,
METRANS DYKO Rail Repair Shop,3500.0,,
"LADOS, a.s.",3500.0,,
METOP SERVIS s.r.o.,3500.0,,
METCOMP CZECH s.r.o.,3500.0,,
PROGES s.r.o.,3500.0,,
METAL TRADE COMAX a.s.,3500.0,,
Omega-Teplotechna Praha a.s.,3500.0,,
METAL MB s.r.o.,3500.0,,
METAL COMPLEX s.r.o.,3500.0,,
PROFat+EKIS Jihlava spol.s r.o,3500.0,,
"Ondřejovická strojírna, a.s.",3500.0,,
"Opravny Telč, a.s.",3500.0,,
Ostrov Complete s.r.o.,3500.0,,
MERIT GROUP a.s.,3500.0,,
PAHAMONT s.r.o.,3500.0,,
MEGATECH Industries Jablonec s,3500.0,,
"P r ů m s t a v , a.s.",3500.0,,
PRODIG-TCV s.r.o.,3500.0,,
"PRODEX spol. s r.o., organizač",3500.0,,
LANOCEL spol. s r.o.,3500.0,,
"LANOSTAV, s.r.o.",3500.0,,
MEICO SYSTEM`S s.r.o.,3500.0,,
PROBET s.r.o.,3500.0,,
MEGATECH Industries Hlinsko s.,3500.0,,
"MERIDIN, spol. s r.o.",3500.0,,
MEGA-TEC s.r.o.,3500.0,,
MEGA a.s.,3500.0,,
"MEDTEC - VOP, spol. s r.o.",3500.0,,
"P-PROJEKTA, spol. s r.o.",3500.0,,
"MEDMES, spol. s r.o.",3500.0,,
P-mont s.r.o.,3500.0,,
MARPEK.CZ servis s.r.o.,3500.0,,
"PROFARMA-PRODUKT, s.r.o.",3500.0,,
LANIK s.r.o.,3500.0,,
MENE INDUSTRY S.R.O.,3500.0,,
MENERGO a.s.,3500.0,,
MERCK spol. s r.o.,3500.0,,
"LANDSCAPE 4U, s.r.o.",3500.0,,
"MERCATOR, s.r.o",3500.0,,
MERANO a.s.,3500.0,,
"MEPAC CZ, s.r.o.",3500.0,,
PROFI - kompresory,3500.0,,
LANEX a.s.,3500.0,,
P - atelier JH s.r.o.,3500.0,,
"P L Y N O M O N T  TEPLICE, s.",3500.0,,
"MENHIR projekt, s.r.o.",3500.0,,
"P M E , spol. s r.o.",3500.0,,
P O P R  spol. s r.o.,3500.0,,
"P R O J E K T I S , spol. s r.",3500.0,,
"LANEZ, s.r.o.",3500.0,,
P a M ELEKTRO s.r.o.,3500.0,,
PREDITEST s.r.o.,3500.0,,
POLENA Engineering s.r.o.,3500.0,,
"MAREX SERVIS, spol. s r.o.",3500.0,,
PLYNOMONT spol. s r.o.,3500.0,,
M D Let s.r.o.,3500.0,,
POSAD STEEL s.r.o.,3500.0,,
"PLASTON CR, s.r.o.",3500.0,,
"M & I, spol.s r.o.",3500.0,,
LUX spol. s r.o.,3500.0,,
PLAČEK & BoLD,3500.0,,
PORTICUS s.r.o.,3500.0,,
"LUXART, s.r.o.",3500.0,,
"La Lorraine, a.s.",3500.0,,
PONTIKA s.r.o.,3500.0,,
LVP Automation s.r.o.,3500.0,,
"LYGRE, spol. s r.o.",3500.0,,
"M & B Calibr, spol. s r.o.",3500.0,,
"PLYNOVODY PRAHA, spol. s r. o.",3500.0,,
PONDIOS s.r.o.,3500.0,,
"Lázně Darkov, a.s.",3500.0,,
POTRUBÍ SEIDLER s.r.o.,3500.0,,
LUPA spol. s r. o.,3500.0,,
"PLASMAMETAL, spol. s r.o.",3500.0,,
M G L s.r.o.,3500.0,,
"M.A.T. Group, s.r.o.",3500.0,,
"LUKR INGENEERING, a.s.",3500.0,,
POWER electrical services s.r.,3500.0,,
M.A.S. Automation a.s.,3500.0,,
PIS - PROJEKTSERVIS,3500.0,,
PK OSSENDORF s.r.o.,3500.0,,
"M-tech, s.r.o.",3500.0,,
LUKROM plus s.r.o.,3500.0,,
M-konstrukce s.r.o.,3500.0,,
PKI s.r.o.,3500.0,,
M connections s.r.o.,3500.0,,
PKS servis spol. s r.o.,3500.0,,
M Plus elektro s.r.o.,3500.0,,
"LUMI, s.r.o.",3500.0,,
LUNA PLAST a.s.,3500.0,,
LÁBUS AA - Architektonický ate,3500.0,,
Laboratoře AGEL a.s.,3500.0,,
LUKOV Plast spol. s r.o.,3500.0,,
Leonhard Moll RTS s.r.o.,3500.0,,
"Litomyšlská nemocnice, a.s.",3500.0,,
Lintech spol. s r.o.,3500.0,,
"Linio Plan,s.r.o",3500.0,,
Linhart spol. s r.o.,3500.0,,
Lindab Buildings s.r.o.,3500.0,,
"Legrand, s.r.o.",3500.0,,
Lichtgitter CZ spol. s r. o.,3500.0,,
"Lichtenstein, s.r.o.",3500.0,,
"PLYNSTAV, s.r.o.",3500.0,,
Lesní stavby. s.r.o.,3500.0,,
POLAK CZ s.r.o.,3500.0,,
"Liberecká IS, a.s.",3500.0,,
LiV Elektra,3500.0,,
Lesostavby Třeboň a.s.,3500.0,,
"Letecké přístroje Praha, s.r.o",3500.0,,
"Letište Ostrava, a.s.",3500.0,,
Legios Loco a.s.,3500.0,,
POLNA corp.s.r.o.,3500.0,,
POLY-ANALYSER s.r.o.,3500.0,,
POHAS s.r.o.,3500.0,,
PLiSATi s.r.o.,3500.0,,
"PLÁN PLUS, s.r.o.",3500.0,,
"POLYTEX COMPOSITE, s.r.o.",3500.0,,
Odborový svaz pracovníků dopra,3500.0,,
PMP KOVO s.r.o.,3500.0,,
"Lumius, spol. s r.o.",3500.0,,
"Lankwitzer ČR, spol. s r.o.",3500.0,,
Lukor s.r.o.,3500.0,,
Lostade CZ s.r.o.,3500.0,,
Loma Systems s.r.o.,3500.0,,
LaserTherm spol. s r.o.,3500.0,,
"Lom Horní Dvorce, s.r.o.",3500.0,,
Lokotechnika s.r.o.,3500.0,,
Logio s.r.o.,3500.0,,
POEL spol. s r.o.,3500.0,,
PIRES s.r.o.,3500.0,,
"M.A.T.Matoušková, s.r.o.",3500.0,,
PBW GROUP s.r.o,3500.0,,
"PERFECT, spol. s r.o.",3500.0,,
LIGUM spol. s r.o.,3500.0,,
LINAPLAST s.r.o.,3500.0,,
"PENT, a.s.",3500.0,,
LINDE VÍTKOVICE a. s.,3500.0,,
"MAGMA, servis a.s.",3500.0,,
PEPSICO CZ s.r.o.,3500.0,,
LINE architektura,3500.0,,
LINEPLAN s.r.o.,3500.0,,
MAFEP s.r.o.,3500.0,,
"PERI, spol. s r.o.",3500.0,,
MAG CONSULTING s.r.o.,3500.0,,
"PETROM STAVBY, s.r.o.",3500.0,,
LING Krnov s. r. o.,3500.0,,
"LISONĚK, s.r.o.",3500.0,,
"PEVEKO, spol. s r. o.",3500.0,,
PEWTRONIC s.r.o.,3500.0,,
"LIGNOTESTING, a. s.",3500.0,,
MAGUS ENERGO s.r.o.,3500.0,,
LIFT SERVIS s.r.o.,3500.0,,
MAKRO Cash   & Carry ČR s.r.o.,3500.0,,
"LIFOCOLOR, s.r.o.",3500.0,,
POLDI Hütte s.r.o.,3500.0,,
"MAPEI, spol. s r.o.",3500.0,,
PRECYS s.r.o.,3500.0,,
"MANages, a.s.",3500.0,,
"MANDÍK, a.s.",3500.0,,
PD Atelier s.r.o.,3500.0,,
"PD profi, s.r.o.",3500.0,,
MAMUT - THERM s.r.o.,3500.0,,
PEGAS-GONDA s.r.o.,3500.0,,
PEKM Kabeltechnik s.r.o.,3500.0,,
"PEN – projekty energetiky, s.r",3500.0,,
"PRAMOS, a.s.",3500.0,,
"PENAM, a.s.",3500.0,,
PEND a.s.,3500.0,,
LJKOVO s.r.o.,3500.0,,
MADOS MT s.r.o.,3500.0,,
"POZEMSTAV Prostějov,a.s.",3500.0,,
"PP-tech,  s.r.o.",3500.0,,
"LOP projekt, s.r.o.",3500.0,,
LORENC TZB spol. s r.o.,3500.0,,
PHA Czech s.r.o.,3500.0,,
"PHARMIX, s.r.o.",3500.0,,
PHATEC s.r.o.,3500.0,,
"PIERCE CONTROL AUTOMATION, spo",3500.0,,
LOXXESS Bor s.r.o.,3500.0,,
PP projekt Hodonín s.r.o.,3500.0,,
"MADISSON, s.r.o.",3500.0,,
LSV s.r.o.,3500.0,,
M.E.Z. POHONY a.s.,3500.0,,
PP POHONY s.r.o.,3500.0,,
M.E.R. spol. s r. o.,3500.0,,
LUCCO a.s.,3500.0,,
"POZIMOS, a.s.",3500.0,,
LUGAFO s.r.o.,3500.0,,
"PG výrobní společnost, s.r.o.",3500.0,,
LOMY MOŘINA spol. s.r.o.,3500.0,,
"M.L. Engineering & Consulting,",3500.0,,
PFelektro s.r.o.,3500.0,,
"PRAGOMETAL,spol. s r.o.",3500.0,,
"LJS, s.r.o.",3500.0,,
MACROFLEX s.r.o.,3500.0,,
"LOBSTAV, spol. s r. o.",3500.0,,
MACH-TĚSNĚNÍ spol. s r.o.,3500.0,,
"MAC, spol. s r.o.",3500.0,,
PRAGIS a.s.,3500.0,,
LOGAR s.r.o. ,3500.0,,
PPS Patrman s.r.o.,3500.0,,
"M3 konzult, s.r.o.",3500.0,,
LOGSYS spol. s.r.o.,3500.0,,
PPS Kania s.r.o.,3500.0,,
"M.L.S. Holice, spol. s r. o.",3500.0,,
LOM PRAHA s.p.,3500.0,,
LOMAX & Co s.r.o.,3500.0,,
MARCO-CZECH s.r.o.,3500.0,,
"MONTAN OCEL, spol. s r.o.",3500.0,,
"MH - KOVO, s.r.o.",3500.0,,
MĚSTO VESELÍ NAD LUŽNICÍ,3500.0,,
MĚSTO VARNSDORF,3500.0,,
NOLEX  spol. s r.o.,3500.0,,
NOPO ENGINEERING s.r.o.,3500.0,,
MĚSTO ROŽMITÁL POD TŘEMŠÍNEM,3500.0,,
NORMA RZ s.r.o.,3500.0,,
MĚSTO PRACHATICE,3500.0,,
NORTECH s.r.o.,3500.0,,
"NOSTA, s.r.o.",3500.0,,
NOSTA-HERTZ spol. s r.o.,3500.0,,
NOVASERVIS spol. s r.o.,3500.0,,
MĚSTO OSEČNÁ,3500.0,,
MĚSTO OSEK,3500.0,,
NOVING ROŠTY s.r.o.,3500.0,,
MĚSTO MNICHOVICE,3500.0,,
MĚSTO JABLONEC NAD NISOU,3500.0,,
MĚSTO HUSTOPEČE,3500.0,,
MĚSTO HULÍN,3500.0,,
MĚSTO HAVLÍČKŮV BROD,3500.0,,
MĚSTO GOLČŮV JENÍKOV,3500.0,,
MĚSTO CHOTĚBOŘ,3500.0,,
"NOVMONTÁŽE CZ, spol. s r.o.",3500.0,,
"NOVPRO FM, s.r.o.",3500.0,,
MĚSTO BOSKOVICE,3500.0,,
MĚSTO VELKÁ BÍTEŠ,3500.0,,
MĚSTO VIMPERK,3500.0,,
NEON LIGHTS s.r.o.,3500.0,,
MĚSTO ČESKÁ LÍPA,3500.0,,
"NEPA, společnost s ručením ome",3500.0,,
NERIA INDUSTRY a.s.,3500.0,,
Město Broumov,3500.0,,
NERROX s.r.o.,3500.0,,
NESPO plus s.r.o.,3500.0,,
"NESYDGAS, s.r.o.",3500.0,,
"NET, spol. s r.o.",3500.0,,
"NEUFE, spol. s r.o.",3500.0,,
Město Blatná,3500.0,,
Město Bezdružice,3500.0,,
Město Benešov,3500.0,,
Město BZENEC,3500.0,,
NHB - CZ s.r.o.,3500.0,,
Městké služby Písek s.r.o.,3500.0,,
"NIEVELT-Labor Praha, spol.s r.",3500.0,,
NIROMONT s.r.o.,3500.0,,
NIVEKO s.r.o.,3500.0,,
NIXI s.r.o.,3500.0,,
MĚSTSKÁ ČÁST PRAHA 2,3500.0,,
MĚSTSKÁ ČÁST PRAHA 16,3500.0,,
MĚSTSKÁ ČÁST PRAHA 11,3500.0,,
MĚSTSKÁ DOPRAVA Mariánské,3500.0,,
NODEL s.r.o.,3500.0,,
NOWASTAV akciová společnost,3500.0,,
MĚSTO BLANSKO,3500.0,,
MĚSTO BECHYNĚ,3500.0,,
"NOX CONTROL, s.r.o.",3500.0,,
"Moravskoslezské drátovny,a.s.",3500.0,,
Natural Energy Engineering s.r,3500.0,,
"Moravia Spectrum, a.s.",3500.0,,
"Navláčil stavební firma, s.r.o",3500.0,,
"Navos, a.s.",3500.0,,
"Navy MAX, s.r.o.",3500.0,,
"Moravec, spol. s r.o.",3500.0,,
"Montážní a výrobní sdružení, s",3500.0,,
Nejvyšší správní soud ČR,3500.0,,
Montela s.r.o.,3500.0,,
"Mont-lock, s.r.o.",3500.0,,
"Nemocnice Havlíčkův Brod,",3500.0,,
Mondelez CR Coffee Production,3500.0,,
"Molins, s.r.o.",3500.0,,
"Nemocnice Jihlava, příspěvková",3500.0,,
"Moduslink Czech Republic, s.r.",3500.0,,
Modulus s.r.o.,3500.0,,
Nemocnice Kyjov,3500.0,,
ModemTec s.r.o.,3500.0,,
"Mlýn a krupárna MRSKOŠ, s.r.o.",3500.0,,
Nemocnice Na Homolce,3500.0,,
"Nemocnice Písek, a.s.",3500.0,,
Nemocnice Sušice o.p.s.,3500.0,,
Narex s.r.o.,3500.0,,
NYTRON s.r.o.,3500.0,,
"NYPRO hutní prodej, a.s.",3500.0,,
"Mubea, spol. s r.o.",3500.0,,
MĚSTO ADAMOV,3500.0,,
NQA CZ s.r.o.,3500.0,,
NRG provoz tepelných zdrojů s.,3500.0,,
Mölnlycke Health Care,3500.0,,
NT Magnetics s.r.o.,3500.0,,
MÜRABELL s.r.o.,3500.0,,
Mydlářka a.s.,3500.0,,
NTC STAVEBNÍ TECHNIKA spol. s,3500.0,,
Murus-projekce s.r.o.,3500.0,,
"Murr CZ, s.r.o.",3500.0,,
NTD group a.s.,3500.0,,
NWT a.s.,3500.0,,
Mountfield a.s.,3500.0,,
"NTS Prometal Machining, s.r.o.",3500.0,,
NUTRICIA DEVA a.s.,3500.0,,
Motor Lučina spol. s r.o.,3500.0,,
Mosty - statika staveb,3500.0,,
"Morcinek, s.r.o.",3500.0,,
"Moravský QUICK - SERVIS, spol.",3500.0,,
Moravský Peněžní Ústav - spoři,3500.0,,
"Moravská stavební - INVEST, a.",3500.0,,
"NV-PRO PO, s.r.o.",3500.0,,
Město Brumov-Bylnice,3500.0,,
"NEOGRAPH,a.s.",3500.0,,
"Ochrana životního prostředí, s",3500.0,,
Městská část Praha 20,3500.0,,
Město Příbram,3500.0,,
"Městský podnik služeb Kladno,",3500.0,,
Město Polná,3500.0,,
Město Pohořelice,3500.0,,
Město Plasy,3500.0,,
Město Otrokovice,3500.0,,
Město Oslavany,3500.0,,
Město Orlová,3500.0,,
Město Odry,3500.0,,
Město Nýřany,3500.0,,
Městys Budišov,3500.0,,
Město Náchod,3500.0,,
Město Nový Bydžov,3500.0,,
Město Nové Město nad Metují,3500.0,,
Město Nová Včelnice,3500.0,,
Město Neratovice,3500.0,,
Město Mělník,3500.0,,
Městys Choltice,3500.0,,
Město Mohelnice,3500.0,,
Město Mnichovo Hradiště,3500.0,,
Městys Divišov,3500.0,,
Město Mirotice,3500.0,,
Městys Hustopeče nad Bečvou,3500.0,,
Město Rokytnice nad Jizerou,3500.0,,
Město Rosice,3500.0,,
Město Bruntál,3500.0,,
Městská část Praha 18,3500.0,,
Město Zruč nad Sázavou,3500.0,,
Město Červený Kostelec,3500.0,,
Město Vyškov,3500.0,,
Město Šlapanice,3500.0,,
Město Vysoké Mýto,3500.0,,
Město Vrchlabí,3500.0,,
Město Votice,3500.0,,
Město Velká Bystřice,3500.0,,
Město Uničov,3500.0,,
Město Uherské Hradiště,3500.0,,
Městská knihovna,3500.0,,
Město Teplá,3500.0,,
Město Tanvald,3500.0,,
Městská nemocnice s poliklinik,3500.0,,
Město Tachov,3500.0,,
Město Světlá nad Sázavou,3500.0,,
Město Svitavy,3500.0,,
Město Sušice,3500.0,,
Město Sobotka,3500.0,,
Městská část Praha 14,3500.0,,
Město Rychnov nad Kněžnou,3500.0,,
Město Rožnov pod Radhoštěm,3500.0,,
Město Roudnice nad Labem,3500.0,,
Město Milevsko,3500.0,,
MěÚ Valašské Klobouky,3500.0,,
Měření PVV - Leoš Nekula,3500.0,,
Město Meziměstí,3500.0,,
Město Jeseník,3500.0,,
"NATURA DK, a.s.",3500.0,,
Město Jablonné nad Orlicí,3500.0,,
"NAVI CZ, s.r.o.",3500.0,,
NAVIJÁRNA Rynholec s.r.o.,3500.0,,
Město Hrušovany nad Jevišovkou,3500.0,,
NCI.CZ ENGINEERING s.r.o.,3500.0,,
Město Holice,3500.0,,
NDB s.r.o.,3500.0,,
Město Hlinsko,3500.0,,
NDCon s.r.o.,3500.0,,
NDT servis s.r.o.,3500.0,,
Město Hanušovice,3500.0,,
Město Frýdlant n.O.,3500.0,,
Město Frenštát pod Radhoštěm,3500.0,,
Město Domažlice,3500.0,,
Město Dobrovice,3500.0,,
Město Dašice,3500.0,,
Město Chrudim,3500.0,,
NECTEL spol. s r.o.,3500.0,,
Město Choceň,3500.0,,
Město Bystré,3500.0,,
NEKLANOVA 18 spol. s r.o.,3500.0,,
NATIM s.r.o.,3500.0,,
Město Jilemnice,3500.0,,
Město Jičín,3500.0,,
Město Kralupy nad Vltavou,3500.0,,
"Měření dodávek plynu, a.s.",3500.0,,
"N E K O R, spol. s r.o.",3500.0,,
Město Lanškroun,3500.0,,
"N&Z Geodet, s.r.o.",3500.0,,
Město Kyjov,3500.0,,
N+H elektro s.r.o.,3500.0,,
Město Kunovice,3500.0,,
Město Kravaře,3500.0,,
N+N - Konstrukce a dopravní st,3500.0,,
Město Kraslice,3500.0,,
N-Projekt,3500.0,,
"NAREX Ždánice,spol.s r.o.",3500.0,,
Město Kosmonosy,3500.0,,
"N.G.ELEKTRO TRADE, a.s.",3500.0,,
"NADE, s.r.o.",3500.0,,
Město Kopřivnice,3500.0,,
"NAM system,  a.s.",3500.0,,
Město Klecany,3500.0,,
NAPKO spol. s r.o.,3500.0,,
Město Klatovy,3500.0,,
Město Kašperské Hory,3500.0,,
NARETEC s.r.o.,3500.0,,
"Nemocnice Znojmo, příspěvková",3500.0,,
Mlékárna Otinoves s.r.o.,3500.0,,
Mlékárna Kunín a.s.,3500.0,,
MORAVSKÉ MONTÁŽE s.r.o.,3500.0,,
OPTIMAL Facility s.r.o.,3500.0,,
"MORAVSKÁ VODÁRENSKÁ,a.s.",3500.0,,
"OPTIMATIC-CZ,spol.s.r.o.",3500.0,,
"OPTOKON, a.s.",3500.0,,
ORGATEX-NÁCHOD s.r.o.,3500.0,,
"MORAVOSTAV Brno, a.s.stavební",3500.0,,
MORAVOPROJEKT s.r.o.,3500.0,,
MORACELL s.r.o.,3500.0,,
"ORLOVAN, bytové družstvo",3500.0,,
"MOOKRS, s.r.o.",3500.0,,
ORLÍK-KOMPRESORY výrobní družs,3500.0,,
"MONTSERVIS PRAHA, a.s.",3500.0,,
"MONTKOV, spol. s r.o.",3500.0,,
"ORT Nový Bydžov, spol. s r.o.",3500.0,,
"ORZO SECURITY, spol. s r. o.",3500.0,,
"MONTIX, a.s.",3500.0,,
OSCHATZ Services & Solutions s,3500.0,,
"OSEVA, a.s.",3500.0,,
"MONTGAS, a.s.",3500.0,,
OSK Praha s.r.o.,3500.0,,
Město Zábřeh,3500.0,,
OSNADO spol. s r. o.,3500.0,,
MONT UNION s.r.o.,3500.0,,
"OPTICONTROL, s.r.o.",3500.0,,
"MORES elektronic, s.r.o.",3500.0,,
Nemocnice s poliklinikou Karvi,3500.0,,
"OP papírna, s.r.o.",3500.0,,
"MRB Sazovice, spol. s r.o.",3500.0,,
OKNOSERVIS s.r.o.,3500.0,,
MPS Mostní a pozemní stavby s.,3500.0,,
"MPS Mont, a.s.",3500.0,,
OKNOTHERM spol. s r.o.,3500.0,,
MPQ TOMOS s.r.o.,3500.0,,
